program,optimization,execution_time_ms,binary_size_bytes,ir_lines,ir_instructions,correctness
binary_search,O0,79.5953,43520,198,146,PASS
binary_search,O2,43.4073,43520,116,75,PASS
binary_search,O3,48.2858,43520,116,75,PASS
bit_manipulation,O0,22.7248,43520,150,105,PASS
bit_manipulation,O2,10.0118,43520,98,59,PASS
bit_manipulation,O3,10.9916,43520,81,43,PASS
branch_heavy,O0,18.206,43520,213,160,PASS
branch_heavy,O2,14.2133,43520,148,99,PASS
branch_heavy,O3,16.9925,43520,148,99,PASS
bubble_sort,O0,12.2176,43520,214,162,PASS
bubble_sort,O2,14.8243,45568,233,181,PASS
bubble_sort,O3,12.7833,46080,173,121,PASS
collatz,O0,299.3691,43520,124,82,PASS
collatz,O2,61.6883,43520,79,45,PASS
collatz,O3,61.3522,45056,240,190,PASS
factorial,O0,20.6454,43520,109,71,PASS
factorial,O2,12.6955,44032,110,78,PASS
factorial,O3,13.8095,44032,110,78,PASS
fibonacci,O0,13.0272,43520,90,57,PASS
fibonacci,O2,15.7231,43520,108,81,PASS
fibonacci,O3,11.9924,43520,108,81,PASS
hash_table,O0,14.5315,43520,269,201,PASS
hash_table,O2,10.0271,43520,147,94,PASS
hash_table,O3,12.0207,43520,147,94,PASS
linear_search,O0,104.7618,43520,170,120,PASS
linear_search,O2,92.6345,43520,114,72,PASS
linear_search,O3,94.4598,44544,155,117,PASS
matrix_multiply,O0,11.1477,43520,289,224,PASS
matrix_multiply,O2,11.7703,45056,330,268,PASS
matrix_multiply,O3,10.54,51200,890,839,PASS
nested_loops,O0,111.5827,43520,138,97,PASS
nested_loops,O2,90.466,43520,88,54,PASS
nested_loops,O3,108.965,43520,88,54,PASS
prime_sieve,O0,10.9041,43520,167,122,PASS
prime_sieve,O2,11.9674,43520,139,99,PASS
prime_sieve,O3,10.3602,43520,139,99,PASS
string_reverse,O0,31.3019,43520,163,125,PASS
string_reverse,O2,16.6392,43520,88,53,PASS
string_reverse,O3,16.9128,43520,88,53,PASS
vector_dot_product,O0,74.3508,43520,156,116,PASS
vector_dot_product,O2,27.654,44032,147,103,PASS
vector_dot_product,O3,28.3861,44032,147,103,PASS
sample,O0,9.8847,42496,54,30,PASS
sample,O2,9.5052,42496,23,5,PASS
sample,O3,12.5468,42496,23,5,PASS
