program,strategy,passes,execution_time_ms,binary_size_bytes,ir_lines,ir_instructions,speedup_vs_o0,is_best_strategy,best_strategy_target,instruction_count,basic_block_count,function_count,loop_count,branch_count,cond_branch_count,uncond_branch_count,load_count,store_count,alloca_count,gep_count,phi_count,arithmetic_count,bitwise_count,cmp_count,call_count,ret_count,mem_op_count,load_store_ratio,mem_to_total_ratio,arith_to_total_ratio,branch_to_bb_ratio,phi_to_bb_ratio
binary_search,scalar_cleanup,"mem2reg,instcombine,simplifycfg",64.2494,16080,114,76,0.7976,0,arithmetic_constant,116.0,25.0,2.0,4.0,23.0,7.0,16.0,29.0,20.0,13.0,4.0,0.0,13.0,0.0,7.0,2.0,2.0,66.0,1.45,0.569,0.1121,0.92,0.0
binary_search,arithmetic_constant,"mem2reg,instcombine,reassociate,sccp,dce",46.8584,16080,150,100,1.0936,1,arithmetic_constant,116.0,25.0,2.0,4.0,23.0,7.0,16.0,29.0,20.0,13.0,4.0,0.0,13.0,0.0,7.0,2.0,2.0,66.0,1.45,0.569,0.1121,0.92,0.0
binary_search,memory_redundancy,"mem2reg,gvn,dse,instcombine,simplifycfg",62.8432,16080,111,73,0.8154,0,arithmetic_constant,116.0,25.0,2.0,4.0,23.0,7.0,16.0,29.0,20.0,13.0,4.0,0.0,13.0,0.0,7.0,2.0,2.0,66.0,1.45,0.569,0.1121,0.92,0.0
binary_search,code_size_dce,"mem2reg,simplifycfg,instcombine,dce,adce",65.6701,16080,114,76,0.7803,0,arithmetic_constant,116.0,25.0,2.0,4.0,23.0,7.0,16.0,29.0,20.0,13.0,4.0,0.0,13.0,0.0,7.0,2.0,2.0,66.0,1.45,0.569,0.1121,0.92,0.0
binary_search,tailcall_simplify,"mem2reg,tailcallelim,simplifycfg,instcombine,dce",65.5579,16080,114,76,0.7817,0,arithmetic_constant,116.0,25.0,2.0,4.0,23.0,7.0,16.0,29.0,20.0,13.0,4.0,0.0,13.0,0.0,7.0,2.0,2.0,66.0,1.45,0.569,0.1121,0.92,0.0
bit_manipulation,scalar_cleanup,"mem2reg,instcombine,simplifycfg",3.8656,16120,96,57,2.0063,1,scalar_cleanup,85.0,16.0,3.0,3.0,13.0,4.0,9.0,21.0,16.0,10.0,0.0,0.0,6.0,9.0,4.0,3.0,3.0,47.0,1.3125,0.5529,0.1765,0.8125,0.0
bit_manipulation,arithmetic_constant,"mem2reg,instcombine,reassociate,sccp,dce",7.9375,16120,108,65,0.9771,0,scalar_cleanup,85.0,16.0,3.0,3.0,13.0,4.0,9.0,21.0,16.0,10.0,0.0,0.0,6.0,9.0,4.0,3.0,3.0,47.0,1.3125,0.5529,0.1765,0.8125,0.0
bit_manipulation,memory_redundancy,"mem2reg,gvn,dse,instcombine,simplifycfg",3.9995,16120,96,57,1.9391,0,scalar_cleanup,85.0,16.0,3.0,3.0,13.0,4.0,9.0,21.0,16.0,10.0,0.0,0.0,6.0,9.0,4.0,3.0,3.0,47.0,1.3125,0.5529,0.1765,0.8125,0.0
bit_manipulation,code_size_dce,"mem2reg,simplifycfg,instcombine,dce,adce",4.4021,16120,96,57,1.7618,0,scalar_cleanup,85.0,16.0,3.0,3.0,13.0,4.0,9.0,21.0,16.0,10.0,0.0,0.0,6.0,9.0,4.0,3.0,3.0,47.0,1.3125,0.5529,0.1765,0.8125,0.0
bit_manipulation,tailcall_simplify,"mem2reg,tailcallelim,simplifycfg,instcombine,dce",4.0891,16120,96,57,1.8967,0,scalar_cleanup,85.0,16.0,3.0,3.0,13.0,4.0,9.0,21.0,16.0,10.0,0.0,0.0,6.0,9.0,4.0,3.0,3.0,47.0,1.3125,0.5529,0.1765,0.8125,0.0
branch_heavy,scalar_cleanup,"mem2reg,instcombine,simplifycfg",2.1497,16080,151,103,0.9814,0,arithmetic_constant,126.0,29.0,2.0,1.0,27.0,8.0,19.0,28.0,21.0,6.0,0.0,0.0,22.0,3.0,7.0,2.0,2.0,55.0,1.3333,0.4365,0.1984,0.931,0.0
branch_heavy,arithmetic_constant,"mem2reg,instcombine,reassociate,sccp,dce",1.7596,16080,160,109,1.199,1,arithmetic_constant,126.0,29.0,2.0,1.0,27.0,8.0,19.0,28.0,21.0,6.0,0.0,0.0,22.0,3.0,7.0,2.0,2.0,55.0,1.3333,0.4365,0.1984,0.931,0.0
branch_heavy,memory_redundancy,"mem2reg,gvn,dse,instcombine,simplifycfg",1.7641,16080,148,101,1.1959,0,arithmetic_constant,126.0,29.0,2.0,1.0,27.0,8.0,19.0,28.0,21.0,6.0,0.0,0.0,22.0,3.0,7.0,2.0,2.0,55.0,1.3333,0.4365,0.1984,0.931,0.0
